t_over_L,rho,voxel_hash,C11,C12,C44,time_s,direct_solution,resolution,E,nu,lx,ly,lz,rho_liu,discretization_warning
0.03,0.241185,ce6ecc4651b568180e87c4ca9e6cb771,0.14382154286138193,0.06541343609322992,0.0654436882091101,13.0794,0,30,1.0,0.3,1.0,1.0,1.0,0.191799,True
0.0425,0.241185,ce6ecc4651b568180e87c4ca9e6cb771,0.14382154286138193,0.06541343609322992,0.0654436882091101,16.0145,0,30,1.0,0.3,1.0,1.0,1.0,0.263327,False
0.055,0.241185,ce6ecc4651b568180e87c4ca9e6cb771,0.14382154286138193,0.06541343609322992,0.0654436882091101,14.9906,0,30,1.0,0.3,1.0,1.0,1.0,0.32992,False
0.0675,0.434963,63b25a7cf9e80d8994abcd6edf510500,0.2992059820373206,0.13084884297421698,0.12333895154523075,15.0391,0,30,1.0,0.3,1.0,1.0,1.0,0.391579,False
0.08,0.434963,63b25a7cf9e80d8994abcd6edf510500,0.2992059820373206,0.13084884297421698,0.12333895154523075,15.1498,0,30,1.0,0.3,1.0,1.0,1.0,0.448304,False
0.0925,0.434963,63b25a7cf9e80d8994abcd6edf510500,0.2992059820373206,0.13084884297421698,0.12333895154523075,15.5808,0,30,1.0,0.3,1.0,1.0,1.0,0.500094,False
0.105,0.587259,9face68caf34738cc9084c608ef34f7a,0.46518810500750535,0.19431726751402048,0.1747749704684824,15.6121,0,30,1.0,0.3,1.0,1.0,1.0,0.54695,False
0.1175,0.587259,9face68caf34738cc9084c608ef34f7a,0.46518810500750535,0.19431726751402048,0.1747749704684824,15.7413,0,30,1.0,0.3,1.0,1.0,1.0,0.588872,False
0.13,0.587259,9face68caf34738cc9084c608ef34f7a,0.46518810500750535,0.19431726751402048,0.1747749704684824,15.6861,0,30,1.0,0.3,1.0,1.0,1.0,0.625859,False
0.1425,0.704,8f8e4553d2f4bd281d1933186fb3da3e,0.634829053809162,0.2557681289262148,0.22001493531463634,15.6935,0,30,1.0,0.3,1.0,1.0,1.0,0.657912,False
0.155,0.704,8f8e4553d2f4bd281d1933186fb3da3e,0.634829053809162,0.2557681289262148,0.22001493531463634,16.361,0,30,1.0,0.3,1.0,1.0,1.0,0.68503,False
0.1675,0.704,8f8e4553d2f4bd281d1933186fb3da3e,0.634829053809162,0.2557681289262148,0.22001493531463634,17.5745,0,30,1.0,0.3,1.0,1.0,1.0,0.707214,False
0.18,0.791111,611affbc97b7db29e89173d1404abb51,0.7952031720258156,0.31623781807897233,0.25904650835234916,16.2537,0,30,1.0,0.3,1.0,1.0,1.0,0.724464,False
