t_over_L,rho,voxel_hash,C11,C12,C44,time_s,direct_solution,resolution,E,nu,lx,ly,lz,rho_liu,discretization_warning
0.03,0.185426,a3941fc984cfd5fb9ba93074319b5239,0.1019514222731834,0.0473582186968967,0.0484310032798914,804.1885,0,120,1.0,0.3,1.0,1.0,1.0,0.191799,True
0.0378947368,0.241,ba556a9cc37d73616a1b156d5b124aed,0.1373253236394059,0.0632212579446662,0.0637285999849948,863.8651,0,120,1.0,0.3,1.0,1.0,1.0,0.237549,False
0.0457894737,0.293611,b6c51485329aced34a677e229342eb79,0.1734371260105719,0.0790711861179101,0.0786325632105384,929.5713,0,120,1.0,0.3,1.0,1.0,1.0,0.28133,False
0.0536842105,0.343352,fdb38e1b46c75f168374ba7895d417d0,0.2102956825481876,0.0948845199840108,0.0931473127038593,1010.3111,0,120,1.0,0.3,1.0,1.0,1.0,0.323143,False
0.0615789474,0.343352,fdb38e1b46c75f168374ba7895d417d0,0.2102956825481876,0.0948845199840108,0.0931473127038593,996.5915,0,120,1.0,0.3,1.0,1.0,1.0,0.362987,False
0.0694736842,0.390315,4a7255c299991a91607f4bdb34a99ff0,0.2479020407365462,0.1106385041265482,0.1072767437300484,1059.3026,0,120,1.0,0.3,1.0,1.0,1.0,0.400864,False
0.0773684211,0.434593,99fed52d435f057dcf8201c246f7f22f,0.2862465744703535,0.1263117952865868,0.1210239142059695,1144.5329,0,120,1.0,0.3,1.0,1.0,1.0,0.436772,False
0.0852631579,0.476278,fdb69fbd89d6de6974366dca08c15d31,0.3253052004036497,0.1418859600183917,0.1343912663888335,1175.0011,0,120,1.0,0.3,1.0,1.0,1.0,0.470712,False
0.0931578947,0.515463,d011c84115977e32804d5708649ff7bb,0.3650351884640256,0.1573471816281816,0.147380733522187,1200.8147,0,120,1.0,0.3,1.0,1.0,1.0,0.502683,False
0.1010526316,0.552241,37e8b07778e044072eefb9f167b3f1eb,0.4053711988416655,0.1726878535552206,0.1599937834963531,1277.5305,0,120,1.0,0.3,1.0,1.0,1.0,0.532687,False
0.1089473684,0.552241,37e8b07778e044072eefb9f167b3f1eb,0.4053711988416655,0.1726878535552206,0.1599937834963531,1295.7302,0,120,1.0,0.3,1.0,1.0,1.0,0.560722,False
0.1168421053,0.586704,3a127ca5911bdde4b06174f7b8008b3b,0.446222073293344,0.1879078169909173,0.1722314299086561,1311.9551,0,120,1.0,0.3,1.0,1.0,1.0,0.586788,False
0.1247368421,0.618944,b86dad4235243599de5b48b9cab71409,0.4874689241759197,0.2030150007555167,0.1840942328124738,1366.9079,0,120,1.0,0.3,1.0,1.0,1.0,0.610887,False
0.1326315789,0.649056,11790676b39879cda8485680fb2fbfef,0.5289650619807931,0.2180252059623219,0.1955823114987755,1400.2347,0,120,1.0,0.3,1.0,1.0,1.0,0.633017,False
0.1405263158,0.67713,021842eae7b3ba85a4002f36a347a80b,0.5705380933906407,0.2329607428066028,0.2066953843835539,1478.4262,0,120,1.0,0.3,1.0,1.0,1.0,0.653179,False
0.1484210526,0.67713,021842eae7b3ba85a4002f36a347a80b,0.5705380933906407,0.2329607428066028,0.2066953843835539,1443.5524,0,120,1.0,0.3,1.0,1.0,1.0,0.671372,False
0.1563157895,0.703259,0c21d9200b1f167232f5b167beb01918,0.6119940646820844,0.2478475963792211,0.2174328184599267,1477.9789,0,120,1.0,0.3,1.0,1.0,1.0,0.687598,False
0.1642105263,0.727537,60db408fda17e45941484cce89af7ba3,0.6531230754858443,0.2627109339215099,0.2277936281648051,1523.9234,0,120,1.0,0.3,1.0,1.0,1.0,0.701855,False
0.1721052632,0.750056,39c74c46280cda3d082fb54e96bb475e,0.6937056934927475,0.2775692087005257,0.2377763610122877,1527.1456,0,120,1.0,0.3,1.0,1.0,1.0,0.714144,False
0.18,0.770907,e865bec6749915288f3201ac2c107fc4,0.7335198281005474,0.2924277550839178,0.247378873422124,1572.8535,0,120,1.0,0.3,1.0,1.0,1.0,0.724464,False
