lattice,res,n_iter,eff_tL,rho,C11,C12,C44,time_s,dC11,dC12,dC44,max_d
SC,30,1.0,0.1,0.271,0.21650910766380843,0.043181331583817824,0.041958185788996745,17.536916732788086,,,,
SC,50,2.0,0.1,0.271,0.21570404806751425,0.04283813475214808,0.04174514574266632,64.99296736717224,0.3718363652139106,0.7947805662351476,0.5077437032234402,0.7947805662351476
SC,70,3.0,0.1,0.271,0.21538247254809653,0.0426883877520912,0.04168436775949889,181.24163031578064,0.14908181941818271,0.3495647065944389,0.14559293562440523,0.3495647065944389
SC,90,4.0,0.1,0.271,0.2152108785236271,0.0426014841584227,0.04164409810863174,365.4168424606323,0.0796694468400187,0.20357665923854276,0.09660612126705674,0.20357665923854276
SC,110,5.0,0.1,0.271,0.2151043610496486,0.04254278600865291,0.041615104147350465,649.1450502872467,0.049494465479263235,0.13778428364492684,0.06962321817041608,0.13778428364492684
FCC,30,,0.1,0.5872592592592593,0.4651881050075052,0.19431726751402043,0.17477497046848242,14.048428297042847,,,,
FCC,50,,0.1,0.500224,0.3559361176493711,0.15373179310634183,0.1431654225571678,66.5004951953888,23.48555050786852,20.88619036635551,18.085855100753598,23.48555050786852
FCC,70,,0.1,0.5262740524781341,0.38014278906521065,0.16313851830858292,0.15145693519310374,220.12579154968262,6.8008471788989056,6.118919848761614,5.7915609005554645,6.8008471788989056
FCC,90,,0.1,0.5402688614540466,0.39358937414875517,0.16826218342671537,0.15602107606447785,507.56074023246765,3.5372458640108135,3.140683862557115,3.013490841838931,3.5372458640108135
FCC,110,,0.1,0.5490007513148009,0.40215543772005935,0.17148599880841428,0.1589120589768109,932.1125268936157,2.1763960446926807,1.9159476693127595,1.8529438363431863,2.1763960446926807
