t_over_L,rho,voxel_hash,C11,C12,C44,time_s,direct_solution,resolution,E,nu,lx,ly,lz,rho_approx,discretization_warning
0.03,0.058808,c01a8f2b6768a2c2bd92017f43df26f1,0.0438529632071213,0.0070172491099856,0.007817039888738,358.3521,0,100,1.0,0.3,1.0,1.0,1.0,0.087327,True
0.0378947368,0.115264,437058a70be7f71e69f28818d3a1b7c5,0.08726002114417,0.0147968976644221,0.0158531610265101,432.5659,0,100,1.0,0.3,1.0,1.0,1.0,0.109431,False
0.0457894737,0.115264,437058a70be7f71e69f28818d3a1b7c5,0.08726002114417,0.0147968976644221,0.0158531610265101,415.2116,0,100,1.0,0.3,1.0,1.0,1.0,0.131174,False
0.0536842105,0.169416,7523d948273ed6b48b6a55527822dd8b,0.1302621818779833,0.0233230962195536,0.0241483742583084,456.1559,0,100,1.0,0.3,1.0,1.0,1.0,0.152561,False
0.0615789474,0.169416,7523d948273ed6b48b6a55527822dd8b,0.1302621818779833,0.0233230962195536,0.0241483742583084,459.4626,0,100,1.0,0.3,1.0,1.0,1.0,0.173594,False
0.0694736842,0.169416,7523d948273ed6b48b6a55527822dd8b,0.1302621818779833,0.0233230962195536,0.0241483742583084,470.7622,0,100,1.0,0.3,1.0,1.0,1.0,0.194277,False
0.0773684211,0.221312,81f246e5b719a9994d398c7f8e5215c5,0.1728858529845225,0.0325842349796983,0.0327329874582115,516.6734,0,100,1.0,0.3,1.0,1.0,1.0,0.214611,False
0.0852631579,0.221312,81f246e5b719a9994d398c7f8e5215c5,0.1728858529845225,0.0325842349796983,0.0327329874582115,512.4991,0,100,1.0,0.3,1.0,1.0,1.0,0.2346,False
0.0931578947,0.271,2d852eccb0f0f44a6db8001aae2bc241,0.2151519364165085,0.0425694367278245,0.0416281640324494,562.7972,0,100,1.0,0.3,1.0,1.0,1.0,0.254247,False
0.1010526316,0.271,2d852eccb0f0f44a6db8001aae2bc241,0.2151519364165085,0.0425694367278245,0.0416281640324494,551.5007,0,100,1.0,0.3,1.0,1.0,1.0,0.273555,False
0.1089473684,0.271,2d852eccb0f0f44a6db8001aae2bc241,0.2151519364165085,0.0425694367278245,0.0416281640324494,554.0954,0,100,1.0,0.3,1.0,1.0,1.0,0.292527,False
0.1168421053,0.318528,65e4e2a0076c7bb2adfb33eba3c418a9,0.257077969433415,0.0532676222708541,0.0508543987221011,584.5598,0,100,1.0,0.3,1.0,1.0,1.0,0.311165,False
0.1247368421,0.318528,65e4e2a0076c7bb2adfb33eba3c418a9,0.257077969433415,0.0532676222708541,0.0508543987221011,597.1378,0,100,1.0,0.3,1.0,1.0,1.0,0.329474,False
0.1326315789,0.363944,553a5de7330481bf2b9acecbbafe8d3e,0.2986785795306617,0.0646670571433166,0.0604301870788606,621.0366,0,100,1.0,0.3,1.0,1.0,1.0,0.347454,False
0.1405263158,0.363944,553a5de7330481bf2b9acecbbafe8d3e,0.2986785795306617,0.0646670571433166,0.0604301870788606,621.6199,0,100,1.0,0.3,1.0,1.0,1.0,0.365111,False
0.1484210526,0.363944,553a5de7330481bf2b9acecbbafe8d3e,0.2986785795306617,0.0646670571433166,0.0604301870788606,613.8962,0,100,1.0,0.3,1.0,1.0,1.0,0.382446,False
0.1563157895,0.407296,c6f70b654bde4b192d8757294c3bc09c,0.3399655203827108,0.0767548990302009,0.0703724432766284,646.0515,0,100,1.0,0.3,1.0,1.0,1.0,0.399463,False
0.1642105263,0.407296,c6f70b654bde4b192d8757294c3bc09c,0.3399655203827108,0.0767548990302009,0.0703724432766284,657.3618,0,100,1.0,0.3,1.0,1.0,1.0,0.416164,False
0.1721052632,0.448632,f01840c7cebe9b9f0a82705df0dfb6c3,0.3809475756642176,0.0895168288091696,0.080695296465085,678.8692,0,100,1.0,0.3,1.0,1.0,1.0,0.432553,False
0.18,0.448632,f01840c7cebe9b9f0a82705df0dfb6c3,0.3809475756642176,0.0895168288091696,0.080695296465085,682.3695,0,100,1.0,0.3,1.0,1.0,1.0,0.448632,False
