P,lt_t,tL_t,d_t,alpha_t,C11n_t,lt_p,tL_p,d_p,L_p,N_p,alpha_tmm,alpha_err,spectrum_target,spectrum_verified
1,SC,0.03,0.6786,0.733657,0.0822537284182701,SC,0.03057038225233555,0.9453409910202026,14.567546844482422,20,0.7202014846466709,-0.013455515353329117,"[0.9448847473551174, 0.5690636456392302, 0.6176624207048345, 0.9553792920327319, 0.6514867794858765, 0.6174037378723067, 0.9183569382063697, 0.7152505280843469, 0.6255948134070616, 0.8727710528457914, 0.7534060378417423, 0.6382393163291049, 0.8378384423661795, 0.7635605263977674, 0.6505910928531671, 0.816582567679446]","[0.798849234735054, 0.6161191148492331, 0.730393242030901, 0.6928720918132238, 0.6926249862086453, 0.7424194197256428, 0.6784985638648493, 0.7587692384777559, 0.6810495246867152, 0.7442506313360755, 0.6968370416499645, 0.7051605451888311, 0.7238648609594271, 0.6536317532050384, 0.7434584400736954, 0.6185049119406087]"
2,SC,0.040714,0.8571,0.73124,0.1077581564169861,SC,0.03938789293169975,0.9052529335021973,10.224288940429688,20,0.7237463264177124,-0.0074936735822875855,"[0.8739445244072517, 0.7331080332867972, 0.45981369293974417, 0.6218643714257845, 0.9911339439379108, 0.6047203862680031, 0.53047416918687, 0.8822135579959038, 0.828535051518411, 0.5571873826942666, 0.6883234429763345, 0.9731941211858265, 0.6615052219370047, 0.6046267032884314, 0.9051580550905854, 0.7983255216064055]","[0.8534670932625045, 0.7195053042090844, 0.44361703743306347, 0.6023938413781122, 0.9908894756367248, 0.5919019992274872, 0.5137898418684675, 0.8755088807518119, 0.8273566310341621, 0.5433218322449179, 0.6745518191265929, 0.9848302203770276, 0.6535605901376733, 0.5903748334776595, 0.9101294722468919, 0.802482433282236]"
3,SC,0.051429,0.8571,0.728991,0.1336541171673045,SC,0.04958876222372055,0.8837890625,10.14608383178711,20,0.7264639624121534,-0.002527037587846559,"[0.9530251665620509, 0.6656365617225641, 0.46189591549617937, 0.7277721899352407, 0.9181444685957738, 0.5513964802492229, 0.5909788029825023, 0.974272872330024, 0.6984754464899418, 0.5593820671395011, 0.8354109783807142, 0.8556286048336225, 0.5913574061149305, 0.7109265603102357, 0.9309410226025145, 0.6545890193394085]","[0.9471679017534532, 0.6574051007334438, 0.45266456626409257, 0.7206747584176181, 0.918004669646895, 0.5431484306010508, 0.583370359378502, 0.9802354852119379, 0.6932222021111278, 0.5518338785746164, 0.8376858960857946, 0.8577590231340295, 0.5844461173144144, 0.7091551198663151, 0.9409024182304258, 0.6496492259594052]"
4,FCC_face,0.03,0.5,0.728267,0.169971874294167,FCC_face,0.032883647829294205,0.5733656287193298,10.496381759643555,20,0.7197099382933515,-0.008557061706648494,"[0.5516691577271493, 0.5048308411245315, 0.6319986772361043, 0.8967282058640431, 0.9218758740994406, 0.7203740880675957, 0.5926646487040013, 0.5985220024510436, 0.7462951404671392, 0.9225397912524986, 0.8661964988675385, 0.7024305344637991, 0.6228337838360729, 0.664674896329413, 0.8115651890836905, 0.9079191252313189]","[0.510323365569885, 0.46519685473563055, 0.6089903732731718, 0.9230391693421781, 0.9277143548384075, 0.68429784486041, 0.5523016926429027, 0.5711629463164152, 0.7560465199316911, 0.9646575672213429, 0.8592106125436146, 0.6649187642091288, 0.589808348508637, 0.6570228317208456, 0.8491134740018009, 0.9431780300046437]"
5,FCC_face,0.040714,0.5,0.723764,0.2039808483237983,FCC_face,0.03909649699926376,0.5361652970314026,10.42417049407959,20,0.7281108099994209,0.004346809999420942,"[0.5136678039918126, 0.5540001838094004, 0.7824713426539527, 0.911018609342577, 0.7394764329910037, 0.5978521627511518, 0.5969114948801709, 0.7429075874985615, 0.885932071098779, 0.7947613443428875, 0.6544517627187159, 0.6212319154542326, 0.7140327161793341, 0.8467612394352113, 0.8181173925348977, 0.694644799899713]","[0.49645339879817973, 0.5433829296946573, 0.8025818861144174, 0.9354848951622152, 0.728695478626987, 0.5801388310519948, 0.5900130066601813, 0.7649171163312773, 0.9179026996930753, 0.7894019262029079, 0.6371782337702219, 0.6152521259594614, 0.7356710743253789, 0.8835035211368782, 0.8198403808350025, 0.6781892029378055]"
6,SC,0.083571,0.8571,0.706093,0.2139339181423253,SC,0.07864736765623093,1.0415557622909546,14.029546737670898,20,0.689069646360865,-0.017023353639134986,"[0.9827150557924691, 0.5451146229993085, 0.5153269148534898, 0.9478300198112867, 0.6776956321980101, 0.5267036722801459, 0.8368394859678153, 0.7963168758910504, 0.5570642964511497, 0.7461499319064686, 0.8656762203910635, 0.5958396437648292, 0.6949830716682297, 0.878965060970754, 0.6288991890658393, 0.6742068354560928]","[0.791137599701419, 0.5817981230066166, 0.714659239751221, 0.6562807955668999, 0.6715348687338087, 0.7052507346149226, 0.6540889633946215, 0.7213905697057836, 0.6545256547822058, 0.706575540130687, 0.6686576189870005, 0.6676442651067263, 0.6933392679221301, 0.6178341084762553, 0.707291904084423, 0.5866085786430831]"
7,FCC_face,0.051429,0.5,0.701291,0.2401136174633005,FCC_face,0.05055104196071625,0.5681320428848267,10.664010047912598,20,0.7102748558343116,0.008983855834311605,"[0.5052284702269159, 0.6327922496315094, 0.8570997737951656, 0.7864436342485116, 0.6181673680861559, 0.57895492397038, 0.6949208680482231, 0.8399941721807188, 0.7663965408470333, 0.637191572523248, 0.6184212065013139, 0.722182459181703, 0.8173498988314967, 0.7440052007697675, 0.645824350492928, 0.6454985617658093]","[0.47668048723338163, 0.6255807445026693, 0.9159223918056323, 0.8040724936548775, 0.5958936914007973, 0.557104672498568, 0.7098345224943088, 0.8994949178567714, 0.7776411826735903, 0.6171203168513432, 0.6070073102082303, 0.7536209940629834, 0.8722448709994595, 0.7493691075419497, 0.6291943120812903, 0.6460824991767702]"
8,SC,0.094286,0.8571,0.700026,0.2416666351787308,SC,0.08973722159862518,1.0684587955474854,14.048761367797852,20,0.6838745328901986,-0.01615146710980142,"[0.9565757286307439, 0.5234068462495025, 0.5407520817038081, 0.9623202513691144, 0.6301405419725608, 0.5416965666974065, 0.8892973124399232, 0.7251081528022305, 0.557365051668706, 0.8130315677663046, 0.7879798236998432, 0.5799619873009495, 0.762966941028797, 0.8097869931586633, 0.5998564847626873, 0.7400000901681951]","[0.7929199568991782, 0.5711010251249967, 0.7152439897280978, 0.6449032313068663, 0.6711618150019157, 0.6938323185037134, 0.6532620503385729, 0.7101917983733066, 0.6539150531288256, 0.695405283955554, 0.6690018318749873, 0.6565090558208493, 0.694656217300698, 0.6079594358286025, 0.7061685726079676, 0.5808758853135316]"
9,SC,0.126429,1.0357,0.696399,0.3282718540202057,SC,0.12410742789506912,0.815311074256897,10.878952026367188,20,0.6625019763357259,-0.03389702366427405,"[0.8120197691758592, 0.7397514727619501, 0.4222309735096792, 0.530025441171537, 0.9985124625641811, 0.610603386769095, 0.4672408591128294, 0.7566849385975762, 0.8999346326182068, 0.5393613225599933, 0.5680530801874579, 0.95074616120541, 0.7137056586415025, 0.5330555224436995, 0.7561877106222872, 0.8966430848504786]","[0.5012166573320954, 0.7171608963292175, 0.7013671547903217, 0.5468704234027918, 0.8293627434907048, 0.5906145001298939, 0.6672563783201612, 0.7350724170255734, 0.5802002307119418, 0.764055951832951, 0.6141110714014404, 0.6650478269490321, 0.6847755346285459, 0.602157946505282, 0.7042229111250895, 0.5912732372286309]"
10,SC,0.137143,1.0357,0.695673,0.3584056881558028,SC,0.13430553674697876,0.832595944404602,10.925174713134766,20,0.6595763847089182,-0.03609661529108177,"[0.8313401123944176, 0.724454751882495, 0.41907221788204396, 0.5431538607730697, 0.9984791672043636, 0.5942267588658359, 0.4697084203850056, 0.7823250533801757, 0.8725325669588537, 0.528789072126868, 0.583189566766593, 0.9597053729989421, 0.6847525023891524, 0.5342328929098747, 0.7859402970272904, 0.8629004135115086]","[0.4949560321416905, 0.7103791114011946, 0.7018313444007733, 0.5389835564156584, 0.8304014731978324, 0.5875385067862393, 0.6590558252704695, 0.7385009149565971, 0.5735490169929718, 0.7630247618191262, 0.6126808828021099, 0.6577304537670894, 0.687611579443308, 0.5955414292219687, 0.705457136551857, 0.5876587912392583]"
11,FCC_face,0.083571,0.6786,0.69455,0.3639725568340065,FCC_face,0.08347425609827042,0.705022931098938,10.192682266235352,20,0.6925568883125904,-0.0019931116874095656,"[0.42475185860810816, 0.44381015888247766, 0.7077184979561628, 0.982968506533844, 0.7394750000217601, 0.528770632558065, 0.49503011051994295, 0.6489552177173525, 0.9278965170277657, 0.8562832522691615, 0.6236762501060131, 0.5362268737632876, 0.6141924124571088, 0.8418579766323597, 0.9082939654071753, 0.7071018474337338]","[0.4139573989091039, 0.43539072263919576, 0.7087240032352724, 0.9894315211248456, 0.7283472064939888, 0.5169981759206947, 0.4876071403872565, 0.6519943136047545, 0.942829822282192, 0.8500402369784128, 0.6106514834880464, 0.5281223401044107, 0.6168766804791254, 0.8602362981281493, 0.9109093748019689, 0.6937052890639617]"
12,SC,0.147857,1.0357,0.694293,0.3892382490305677,SC,0.14440986514091492,0.844455897808075,10.948493003845215,20,0.6561490038196036,-0.03814399618039643,"[0.8453295915035686, 0.7129020153037331, 0.4166109316176634, 0.5527966477319024, 0.9958387909042961, 0.582422705850846, 0.4716058598972772, 0.8000177589180899, 0.8513220332296776, 0.5215709358488867, 0.5945371196776046, 0.9609887079123871, 0.6645615878129649, 0.5358898238683263, 0.8057019014756823, 0.8360815274944343]","[0.4900841010820062, 0.7032123442968214, 0.7018304596486364, 0.5323446736642043, 0.8286866211992833, 0.585161323966596, 0.6507014032912646, 0.740474905086271, 0.5677885406406765, 0.7594776997203486, 0.6115653912839636, 0.649763206304534, 0.6892344838888855, 0.5892987505621157, 0.7044156096535845, 0.5844092007284817]"
13,SC,0.158571,1.0357,0.692481,0.4208082926640319,SC,0.1544683873653412,0.8530459403991699,10.962112426757812,20,0.6524579046974923,-0.040023095302507694,"[0.8544748480587593, 0.7048672340581037, 0.41464491089893896, 0.5587425178080991, 0.9925386168017797, 0.5744633384355662, 0.47249499344582413, 0.8101665671019245, 0.8366576014661324, 0.5167287072741679, 0.6013221380098579, 0.958444397065906, 0.6515070125739073, 0.5367719824209505, 0.8161350353482092, 0.81739707690975]","[0.4859300708602359, 0.6964963272105356, 0.7010198312127442, 0.5266763753227801, 0.8255345926062911, 0.5828480998476654, 0.6430182659176122, 0.7409314309260118, 0.5627333403350933, 0.7547788711397536, 0.6101888054079768, 0.6421968923821844, 0.6894575656836772, 0.5836556500310872, 0.7018621400033178, 0.5812838415326133]"
14,SC,0.169286,1.0357,0.69039,0.453156378762867,SC,0.1645364761352539,0.8614181280136108,10.98457145690918,20,0.6488384597258909,-0.04155154027410901,"[0.8592065018590289, 0.7001489945509611, 0.41304935289297173, 0.5609492856077889, 0.9897280191718347, 0.5698517670350288, 0.47214454843625175, 0.8133317447353323, 0.8284136875049637, 0.5136631298609831, 0.603232360064228, 0.9544600831552018, 0.6444496451782107, 0.5361887144510711, 0.8182789334994707, 0.8068081094883586]","[0.4816554952443104, 0.6911028585331842, 0.6990971622400268, 0.5215573244369072, 0.8227484600416028, 0.5798424134501492, 0.6368294225080307, 0.7400975701125018, 0.5580535715611057, 0.7507645731246768, 0.6079008866849231, 0.6361243452227103, 0.6883833217074877, 0.5787143084072839, 0.6990882007875715, 0.5779271145005167]"
15,SC,0.18,1.0357,0.688111,0.4863121000249915,SC,0.17465564608573914,0.8725373148918152,11.033598899841309,20,0.6456279962333441,-0.042483003766655925,"[0.8598634657767585, 0.6985914666389326, 0.4117660615531563, 0.5595171168775582, 0.98792136780651, 0.5682879694034773, 0.4705047491671641, 0.8100356607641167, 0.8263037493887154, 0.5120819268571006, 0.6003325809311958, 0.9500791535847106, 0.6427182563194855, 0.5339272167671938, 0.8130150630815697, 0.8038713599688488]","[0.4765346955960854, 0.6876826273467311, 0.6959455986888892, 0.5165627612877001, 0.8220187375309966, 0.5755518504248036, 0.6327134924176016, 0.7384192654728943, 0.5534157850331789, 0.7491036188220435, 0.6042389237341221, 0.6323598234141284, 0.6863566614110055, 0.5744814307746522, 0.6974092543463377, 0.5740533693633016]"
16,FCC_face,0.115714,0.6786,0.669999,0.5192159074072537,FCC_face,0.11469608545303345,0.7414162158966064,10.459136009216309,20,0.6701223611323641,0.00012336113236410817,"[0.41336766131903824, 0.6047862580280461, 0.9386063861376771, 0.7240440731151245, 0.5113657679382728, 0.5057022399237563, 0.7219863605335839, 0.902732366225623, 0.6862158533689688, 0.5364454282306339, 0.5742746731845569, 0.7860160953718771, 0.848232994063075, 0.6520599594090786, 0.5584330137122744, 0.6369977476581603]","[0.3924905677890027, 0.595023256956773, 0.9692882121552332, 0.715583154202434, 0.49133084291402274, 0.4906474355464161, 0.7345960752611214, 0.9331708125701503, 0.6748260661977419, 0.5189142144236734, 0.569177922531539, 0.817310986692653, 0.8693399168108129, 0.6381461444367496, 0.5453903510756509, 0.6461092573838589]"
17,FCC_face,0.126429,0.6786,0.666197,0.5806350479989091,FCC_face,0.12510082125663757,0.7240860462188721,10.328622817993164,20,0.6684322034193569,0.0022352034193569015,"[0.42376554305344794, 0.6772625740725258, 0.9176390194697543, 0.6394824278642045, 0.4855861799739627, 0.5495486427757572, 0.8193955365998611, 0.8223270331731697, 0.59249527361946, 0.5267611332011075, 0.6591361704621502, 0.8530253200847786, 0.7259416753027548, 0.5702297968195016, 0.5830771083819261, 0.750938445832753]","[0.4077942564655901, 0.6696918837486205, 0.9444605615018766, 0.637948720742646, 0.4733297519130779, 0.5371720819821058, 0.8332337259474718, 0.8441870243175873, 0.5886287373920798, 0.5157896606707189, 0.6563112198228208, 0.8811352655462243, 0.7386667961108523, 0.564368611022957, 0.5756526187563854, 0.7637972183402348]"
18,FCC_face,0.137143,0.6786,0.665499,0.6482168855838735,FCC_face,0.13560818135738373,0.7288733720779419,10.398333549499512,20,0.6714348253467841,0.005935825346784163,"[0.4407145122094531, 0.7483474251279931, 0.8600991562638088, 0.5742486758927638, 0.478443707444941, 0.6144184641993513, 0.8672399803634281, 0.7162500457420813, 0.5377885093424688, 0.5560728045410097, 0.7588516686191886, 0.8076034509205683, 0.6172376539393831, 0.5507815066543718, 0.6639430033531011, 0.8061871795675096]","[0.4282295238132976, 0.766549388768285, 0.8727504216561164, 0.5579078769521895, 0.46567741230923987, 0.6234044617612289, 0.9021327982612386, 0.7069559028336356, 0.5227203332852846, 0.5574018275364752, 0.7949063280396295, 0.8176458677961739, 0.6010316485907048, 0.5457730315459235, 0.690511615953022, 0.8367274265613452]"
19,FCC_face,0.147857,0.6786,0.663375,0.7229189200477587,FCC_face,0.14773805439472198,0.6832214593887329,10.054821014404297,20,0.6642367103173865,0.000861710317386466,"[0.4638936179852856, 0.8079906474939706, 0.7872254980966584, 0.5267566822364318, 0.4878832491831455, 0.6913546823116786, 0.8465398011959904, 0.6250654050107972, 0.5169087482024435, 0.6179614098350642, 0.8158420562549165, 0.7049111135698011, 0.5560637378414901, 0.5844633614139043, 0.7531737401244285, 0.7444972451987959]","[0.46649162122453613, 0.8172691294402125, 0.7796873354986824, 0.5212484096343835, 0.4896423116992702, 0.7032540104894837, 0.8433241670089425, 0.615367772689444, 0.5159773767236202, 0.6289138723798366, 0.8215358589752589, 0.6926962898025271, 0.5514449776516062, 0.5929121502620348, 0.7648748629198467, 0.7336903650122202]"
20,FCC_face,0.158571,0.6786,0.657282,0.8057584714960938,FCC_face,0.15754550695419312,0.7205528020858765,10.32400131225586,20,0.6638669800579468,0.006584980057946721,"[0.4928145243917208, 0.8470034849743764, 0.7141845697085307, 0.49442060940110766, 0.5125327433954856, 0.762981855403394, 0.778261470313566, 0.5604147400632886, 0.5251226135114081, 0.6967468529326395, 0.7926372232680402, 0.612411065704531, 0.5413742497350582, 0.6556704472159863, 0.7736365912587967, 0.6430339611931954]","[0.48532984409620783, 0.8750284435894177, 0.7153911510554509, 0.4828094705270841, 0.5073706490406111, 0.7875739015335428, 0.7891855577651882, 0.550403044827747, 0.5205562668885599, 0.7176988540317757, 0.812061311664108, 0.6046556221841508, 0.5369197096152301, 0.6740696838569019, 0.7977427283726497, 0.637978604859378]"
21,FCC_face,0.169286,0.6786,0.648111,0.8977862440420601,FCC_face,0.16903619468212128,0.7206085920333862,10.295855522155762,20,0.6553282805854811,0.007217280585481101,"[0.5266861719917935, 0.8604786373706605, 0.6486989969602971, 0.47495992167166845, 0.550761127202417, 0.8076222999096069, 0.6962073370074868, 0.521652940712856, 0.5586269126169772, 0.7608999179806599, 0.7157388685472172, 0.5540168399679779, 0.5665341180454329, 0.7266339923509482, 0.7110914669415519, 0.5717939389277022]","[0.5163819795310258, 0.8902644002645417, 0.6535810605754633, 0.4651624208091727, 0.5431608682120936, 0.833030974308332, 0.708812820499976, 0.5150613953539607, 0.5528855189405639, 0.7824238741559463, 0.7335755451621314, 0.550572365619158, 0.5626200043051949, 0.7461030110042899, 0.730963692081401, 0.5708111428050371]"
22,FCC_face,0.18,0.6786,0.637742,0.9999999999991503,FCC_face,0.1794780194759369,0.7308074831962585,10.358179092407227,20,0.647475515943513,0.009733515943513016,"[0.56427103098036, 0.8493524266059577, 0.593504392887467, 0.4666772793783669, 0.5994739587454951, 0.8116410044640343, 0.6222879702441856, 0.5055836890940553, 0.6115115912002091, 0.7772523419735883, 0.6326323571979691, 0.5308151152617226, 0.6209491302524706, 0.7456306219011168, 0.6259797243420424, 0.546898195403388]","[0.5511216732291488, 0.8907813417472812, 0.5989622618274347, 0.45413795417135283, 0.5903005631697782, 0.8503790549479058, 0.6347918379590491, 0.49633762052049135, 0.6053354352731881, 0.8133316481859717, 0.6494605776374008, 0.5244715095300108, 0.6181382823669687, 0.7802441145848134, 0.6438114767507546, 0.5425851959367506]"
23,FCC,0.18,1.2143,0.552099,1.0,FCC,0.17929214239120483,1.6991537809371948,15.295038223266602,20,0.515933777598449,-0.036165222401550956,"[0.8687560685264223, 0.48303784323110655, 0.2770179977732301, 0.4901170950749245, 0.8421989643192189, 0.36711432973520464, 0.35969079328163944, 0.8196863372671639, 0.5484134948573923, 0.3498657484974216, 0.567344522473604, 0.7611317382198152, 0.40198416171110296, 0.4441447001922837, 0.7984002723976216, 0.48768270496424404]","[0.5881904642713042, 0.3619196422304166, 0.48428611715355985, 0.4522039203532511, 0.43740776479478505, 0.5238140534088156, 0.4247477046768897, 0.5519768693560652, 0.4359512412187313, 0.5296032458159763, 0.47270414310669495, 0.4687685124538409, 0.5454977032421104, 0.4017282479944342, 0.605858825228569, 0.387240230378493]"
