lattice,t_over_L,d_over_L,k_C11,k_C12,k_C44,rho_free,rho_resolved
FCC,0.1,0.0,1.0,1.0,1.0,,
FCC,0.1,0.1,0.9923437077005602,0.9849365106301962,0.9828405912756871,0.5155555555555555,0.5130370370370371
FCC,0.1,0.2,0.9359106770675693,0.891607245619991,0.88921346231116,0.5155555555555555,0.4986666666666666
FCC,0.1,0.3,0.7805229995773344,0.6990462097390812,0.7113712418631528,0.5155555555555555,0.4623703703703704
FCC_face,0.1,0.0,1.0,1.0,1.0,,
FCC_face,0.1,0.1,0.8554495175866201,0.8602493044034532,0.8813433753348338,0.5155555555555555,0.4882962962962963
FCC_face,0.1,0.2,0.5813139702453464,0.5884313075142636,0.6382737332385295,0.5155555555555555,0.4180740740740741
FCC_face,0.1,0.3,0.2670479615197986,0.26488554892557425,0.3149662506567744,0.5155555555555555,0.298962962962963
SC,0.1,0.0,1.0,1.0,1.0,,
SC,0.1,0.1,0.9159696808511203,0.8985631930266602,0.919538975314397,0.3107546296296296,0.301087962962963
SC,0.1,0.2,0.7454817981472208,0.6747028648300663,0.7277397793392623,0.3107546296296296,0.2730879629629629
SC,0.1,0.3,0.5478872501266852,0.42206244249257097,0.4819075990939913,0.3107546296296296,0.2264212962962963
