lattice_type,t_over_L,d_mm,L_mm,N,thickness_mm,band_mean_alpha,alpha_1000hz,C11,C12,C44,C11_norm,band_mean_alpha_norm
SC,0.03,0.6786,10.0,20,200.0,0.733657,0.612968,0.0665301360208154,0.0109701336217035,0.011967370308351,0.08225372841737802,0.733657
SC,0.040714,0.8571,10.0,20,200.0,0.73124,0.611688,0.0871591469673739,0.0147691118431046,0.0158255560173288,0.10775815641654003,0.73124
SC,0.051429,0.8571,10.0,20,200.0,0.728991,0.555727,0.1081048454087395,0.0188236042560309,0.0198265841754177,0.13365411716685852,0.728991
FCC_face,0.03,0.5,10.0,20,200.0,0.728213,0.724914,0.1374801134742816,0.0632812463452137,0.0637868067677611,0.16997187429416707,0.728213
FCC_face,0.040714,0.5,10.0,20,200.0,0.724619,0.599697,0.1649879445678289,0.0754201784422323,0.0752047928127203,0.20398084832379834,0.724619
SC,0.083571,0.8571,10.0,20,200.0,0.706093,0.524965,0.1730383892289127,0.0326253053024461,0.0327699652934809,0.21393391814143317,0.706093
FCC_face,0.051429,0.5,10.0,20,200.0,0.702191,0.578048,0.1942135868811069,0.0880541207830709,0.0868989325644335,0.2401136174633005,0.702191
SC,0.094286,0.8571,10.0,20,200.0,0.700026,0.538293,0.1954697303026674,0.0378247459614652,0.0374406540757777,0.2416666351787308,0.700026
SC,0.126429,1.0357,10.0,20,200.0,0.696399,0.619456,0.2655195274429045,0.0555127379871405,0.0527585182943906,0.3282718540206518,0.696399
SC,0.137143,1.0357,10.0,20,200.0,0.695673,0.602579,0.2898929889554009,0.0621896940324536,0.0583679749887721,0.35840568815580287,0.695673
FCC_face,0.083571,0.6786,10.0,20,200.0,0.695464,0.531645,0.2943956970696346,0.1295571782350305,0.123867149400178,0.3639725568340065,0.695464
SC,0.147857,1.0357,10.0,20,200.0,0.694293,0.590406,0.3148316088633973,0.0693023202596536,0.0642656499918911,0.3892382490327979,0.694293
SC,0.158571,1.0357,10.0,20,200.0,0.692481,0.582205,0.3403667345946098,0.0768781438068387,0.0704737443187441,0.42080829266447806,0.692481
SC,0.169286,1.0357,10.0,20,200.0,0.69039,0.577472,0.3665311724803841,0.0849447992251045,0.077014574771215,0.4531563787615288,0.69039
SC,0.18,1.0357,10.0,20,200.0,0.688111,0.5759,0.3933488582912199,0.0935262224977547,0.0839075324330423,0.4863121000240994,0.688111
FCC_face,0.115714,0.6786,10.0,20,200.0,0.671022,0.503406,0.4199627859869457,0.1781871535626104,0.1644203397994739,0.5192159074072537,0.671022
FCC_face,0.126429,0.6786,10.0,20,200.0,0.666731,0.545294,0.4696410663089002,0.1965188270301765,0.1790168005881504,0.5806350479989091,0.666731
FCC_face,0.137143,0.6786,10.0,20,200.0,0.665776,0.608329,0.5243039847391655,0.2163199951475159,0.1943066440931763,0.6482168855838735,0.665776
FCC_face,0.147857,0.6786,10.0,20,200.0,0.663798,0.684223,0.5847260058382591,0.2380301332969348,0.2104105791649196,0.7229189200477587,0.663798
FCC_face,0.158571,0.6786,10.0,20,200.0,0.657942,0.756509,0.6517299791754321,0.2622353623203156,0.2274619707900609,0.8057584714960938,0.657942
FCC_face,0.169286,0.6786,10.0,20,200.0,0.64885,0.803843,0.7261657566529944,0.2896509851261112,0.2456052424974568,0.8977862440420601,0.64885
FCC_face,0.18,0.6786,10.0,20,200.0,0.638362,0.811639,0.808840368709163,0.3210547697601771,0.2649826641710379,1.0,0.638362
