t_over_L,d_mm,L_mm,N,lattice_type,band_mean_alpha,alpha_1000hz
0.03,0.5,10.0,5,FCC_face,0.518546,0.81589
0.03,0.5,10.0,10,FCC_face,0.672772,0.421602
0.03,0.5,10.0,15,FCC_face,0.693488,0.740006
0.03,0.5,10.0,20,FCC_face,0.728213,0.724914
0.03,0.5,13.3333,5,FCC_face,0.61492,0.477204
0.03,0.5,13.3333,10,FCC_face,0.636521,0.90708
0.03,0.5,13.3333,15,FCC_face,0.682154,0.617022
0.03,0.5,13.3333,20,FCC_face,0.691364,0.63866
0.03,0.5,16.6667,5,FCC_face,0.539604,0.390772
0.03,0.5,16.6667,10,FCC_face,0.600389,0.576155
0.03,0.5,16.6667,15,FCC_face,0.599386,0.623875
0.03,0.5,16.6667,20,FCC_face,0.602795,0.627836
0.03,0.5,20.0,5,FCC_face,0.473986,0.618316
0.03,0.5,20.0,10,FCC_face,0.494556,0.515057
0.03,0.5,20.0,15,FCC_face,0.496567,0.544419
0.03,0.5,20.0,20,FCC_face,0.496113,0.538365
0.03,0.5,23.3333,5,FCC_face,0.352968,0.442786
0.03,0.5,23.3333,10,FCC_face,0.353041,0.456401
0.03,0.5,23.3333,15,FCC_face,0.352806,0.45457
0.03,0.5,23.3333,20,FCC_face,0.352757,0.45408
0.03,0.5,26.6667,5,FCC_face,0.238392,0.33623
0.03,0.5,26.6667,10,FCC_face,0.236742,0.348549
0.03,0.5,26.6667,15,FCC_face,0.236909,0.348661
0.03,0.5,26.6667,20,FCC_face,0.236908,0.348652
0.03,0.5,30.0,5,FCC_face,0.158699,0.206672
0.03,0.5,30.0,10,FCC_face,0.159569,0.206888
0.03,0.5,30.0,15,FCC_face,0.159558,0.206888
0.03,0.5,30.0,20,FCC_face,0.159558,0.206888
0.03,0.5,33.3333,5,FCC_face,0.108354,0.107336
0.03,0.5,33.3333,10,FCC_face,0.108165,0.107336
0.03,0.5,33.3333,15,FCC_face,0.108163,0.107336
0.03,0.5,33.3333,20,FCC_face,0.108163,0.107336
