t_over_L,d_mm,L_mm,N,lattice_type,band_mean_alpha,C11,C12,C44,surrogate_method,alpha_500hz,alpha_600hz,alpha_700hz,alpha_800hz,alpha_900hz,alpha_1000hz,alpha_1100hz,alpha_1200hz,alpha_1300hz,alpha_1400hz,alpha_1500hz,alpha_1600hz,alpha_1700hz,alpha_1800hz,alpha_1900hz,alpha_2000hz
0.03,0.5,10.0,5,SC,0.573148,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR,0.9992589,0.80904627,0.5767705,0.43051168,0.35322365,0.32825536,0.35763812,0.46554786,0.68535465,0.92796004,0.90917575,0.70002043,0.52650726,0.42925805,0.39534456,0.42328888
0.040714,0.5,10.0,5,SC,0.555238,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR,0.9646046,0.72073287,0.5128249,0.39382967,0.3402025,0.34311062,0.41751152,0.59879076,0.85288,0.908417,0.72053105,0.5383696,0.43385383,0.397375,0.4271213,0.53898585
0.051429,0.5,10.0,5,SC,0.545559,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR,0.90188533,0.6465811,0.4647551,0.36869413,0.33673948,0.36939093,0.49400213,0.7287114,0.89442545,0.77308613,0.5768467,0.45101574,0.3989386,0.41511628,0.51185405,0.67542356
0.062143,0.5,10.0,5,SC,0.540204,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR,0.8353886,0.58720785,0.42866862,0.35201332,0.34056744,0.4045828,0.5773109,0.8124789,0.8320712,0.64506584,0.48711985,0.40762445,0.39887515,0.4670458,0.61251533,0.71338606
0.072857,0.5,10.0,5,SC,0.533249,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR,0.7742794,0.5400563,0.40136218,0.3414576,0.3497549,0.445491,0.65384454,0.8322756,0.73711026,0.55143774,0.43327117,0.39086166,0.42197403,0.5352345,0.66893935,0.6454672
0.083571,0.5,10.0,5,SC,0.523236,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR,0.7210907,0.5024451,0.38049614,0.33531237,0.3626257,0.48841557,0.7113411,0.80365556,0.64919585,0.48694977,0.40206012,0.3912502,0.45909363,0.594046,0.6554973,0.55388474
0.094286,0.5,10.0,5,SC,0.511492,0.1954697303026674,0.0378247459614652,0.0374406540757777,GPR,0.6758001,0.47218427,0.3643872,0.33229125,0.37769642,0.52964157,0.7440588,0.75237185,0.5786624,0.44298366,0.38542935,0.4027122,0.50043017,0.6221481,0.6011031,0.4801921
0.105,0.5,10.0,5,SC,0.4994,0.218338456582856,0.0433560907810373,0.0423157014338971,GPR,0.63755965,0.4476092,0.35181916,0.33140787,0.39366016,0.5660585,0.7537157,0.6967138,0.5246524,0.4130019,0.37834063,0.42053226,0.53626937,0.6167638,0.53995335,0.42910334
0.115714,0.5,10.0,5,SC,0.487769,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR,0.60533834,0.42746347,0.3418938,0.33189273,0.40941602,0.59567994,0.74642867,0.6454428,0.48376667,0.39254445,0.37739488,0.44070882,0.55993986,0.5898389,0.48747498,0.3955839
0.126429,0.5,10.0,5,SC,0.47697,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR,0.57817614,0.41080555,0.33394182,0.3331437,0.4240914,0.617777,0.7290172,0.6014585,0.45275632,0.3785925,0.3801438,0.4599976,0.56970423,0.5548497,0.44666168,0.37421617
0.137143,0.5,10.0,5,SC,0.467125,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR,0.5552582,0.39692897,0.32746083,0.33469218,0.43705013,0.63267463,0.70695007,0.56497204,0.42907193,0.3690601,0.3847619,0.4761597,0.5678959,0.52026033,0.41608247,0.36084476
0.147857,0.5,10.0,5,SC,0.458229,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR,0.5359056,0.3852927,0.32206795,0.3361807,0.44789073,0.6413775,0.68386775,0.5351913,0.41081157,0.36246744,0.3899015,0.4880855,0.5585373,0.48977336,0.39341944,0.35248992
0.158571,0.5,10.0,5,SC,0.450219,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR,0.51956975,0.3754839,0.31747347,0.33734474,0.45640966,0.64516866,0.661899,0.51109684,0.39658827,0.35775405,0.3946139,0.4956353,0.5454077,0.46437597,0.3765904,0.34708184
0.169286,0.5,10.0,5,SC,0.44301,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR,0.5058081,0.36718422,0.31345865,0.33799776,0.4625597,0.6453227,0.64214087,0.49172914,0.3853925,0.35415924,0.39828685,0.49931017,0.53124803,0.443856,0.36396974,0.34323534
0.18,0.5,10.0,5,SC,0.436516,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR,0.49426928,0.36015013,0.3098617,0.33801776,0.46640077,0.6429415,0.6250701,0.47628576,0.37649533,0.351147,0.40057555,0.49989837,0.5177487,0.42760792,0.35436493,0.3400779
0.03,0.6786,10.0,5,SC,0.542574,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR,0.58829236,0.82661945,0.7354971,0.5433297,0.4018448,0.31482396,0.2658179,0.24560039,0.25371197,0.29988253,0.40894565,0.6178471,0.88823205,0.9566573,0.7633781,0.55708057
0.040714,0.6786,10.0,5,SC,0.554488,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR,0.70191455,0.876427,0.70622957,0.5056568,0.3747185,0.29864594,0.2599307,0.25192273,0.27901223,0.3602816,0.5343326,0.81450224,0.9892265,0.83984435,0.6089469,0.45138797
0.051429,0.6786,10.0,5,SC,0.555543,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR,0.7962754,0.8886245,0.6678106,0.47114927,0.3518879,0.28603762,0.25725484,0.26227102,0.3116909,0.43616158,0.67945814,0.9576333,0.93735296,0.6962945,0.50118476,0.3884281
0.062143,0.6786,10.0,5,SC,0.550979,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR,0.8692359,0.8776909,0.62894696,0.4413583,0.33317304,0.27656934,0.2573649,0.2762518,0.3513486,0.52510816,0.82038844,0.9996074,0.8228501,0.5832778,0.43112236,0.35207573
0.072857,0.6786,10.0,5,SC,0.543728,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR,0.92174613,0.85459423,0.5931609,0.41621256,0.31796756,0.26966628,0.25972834,0.29327998,0.39695904,0.62138325,0.9275318,0.9578619,0.71074116,0.50291085,0.38589022,0.3327448
0.083571,0.6786,10.0,5,SC,0.535444,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR,0.95666295,0.8264012,0.5615621,0.39515647,0.30563185,0.26478148,0.26380742,0.31264392,0.44686335,0.71643823,0.98310864,0.8785379,0.6203507,0.44671786,0.35680124,0.32491025
0.094286,0.6786,10.0,5,SC,0.527049,0.1954697303026674,0.0378247459614652,0.0374406540757777,GPR,0.97761476,0.7972305,0.5342199,0.3775514,0.29559994,0.2614361,0.26908904,0.33354196,0.4988811,0.80106515,0.9899796,0.7946454,0.55165565,0.40719166,0.3384492,0.32514927
0.105,0.6786,10.0,5,SC,0.519034,0.218338456582856,0.0433560907810373,0.0423157014338971,GPR,0.98818445,0.769308,0.51081127,0.36281753,0.2874039,0.2592245,0.27509218,0.35511035,0.55053174,0.8682544,0.96399015,0.72033256,0.50017107,0.37910706,0.3273946,0.3310877
0.115714,0.6786,10.0,5,SC,0.511634,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR,0.99149215,0.7437216,0.49088687,0.3504593,0.2806616,0.25780573,0.2813766,0.3764801,0.5994029,0.91516644,0.92196816,0.6590376,0.46149364,0.3589573,0.3213216,0.34086865
0.126429,0.6786,10.0,5,SC,0.504932,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR,0.9900412,0.72092414,0.47399876,0.3400716,0.27506682,0.2568973,0.28754735,0.3968219,0.643472,0.94304675,0.8757655,0.61000097,0.432226,0.34437388,0.31858048,0.35290462
0.137143,0.6786,10.0,5,SC,0.498922,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR,0.98573893,0.70103306,0.45974845,0.3313305,0.27037716,0.25626814,0.293259,0.41538858,0.68132514,0.9557065,0.8319797,0.57132035,0.40991434,0.33372158,0.3179363,0.36578137
0.147857,0.6786,10.0,5,SC,0.493552,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR,0.97998357,0.68398684,0.44779044,0.3239746,0.26639965,0.25573292,0.29822457,0.43156415,0.71224785,0.9577692,0.793601,0.54105735,0.39280346,0.32583946,0.3184359,0.37825927
0.158571,0.6786,10.0,5,SC,0.488751,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR,0.97377014,0.6696478,0.43783835,0.3177972,0.26298416,0.25514784,0.30221713,0.44487768,0.7361228,0.9534479,0.76162773,0.51759046,0.3796465,0.31989497,0.31934133,0.3892996
0.169286,0.6786,10.0,5,SC,0.484446,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR,0.9677873,0.6578506,0.42965692,0.3126348,0.26001504,0.25440636,0.30507204,0.4550115,0.75325817,0.94602406,0.73609596,0.49965447,0.36955503,0.31528887,0.3200946,0.39809945
0.18,0.6786,10.0,5,SC,0.480571,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR,0.9624995,0.6484336,0.42305824,0.30836084,0.25740656,0.253436,0.30668512,0.46178982,0.7641844,0.93778914,0.7166587,0.48630467,0.36190197,0.31159887,0.32029715,0.40410438
0.03,0.8571,10.0,5,SC,0.379324,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR,0.2611069,0.47108698,0.61218274,0.56634194,0.44559306,0.3429695,0.27263507,0.22788584,0.2023543,0.19324669,0.20169586,0.23388773,0.30381793,0.43502152,0.6383085,0.8153087
0.040714,0.8571,10.0,5,SC,0.416138,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR,0.31134933,0.54906577,0.6613396,0.56879634,0.43250203,0.33006644,0.26350278,0.22309518,0.20246287,0.19986564,0.21858376,0.26902112,0.37260407,0.55696034,0.78729224,0.86049145
0.051429,0.8571,10.0,5,SC,0.445847,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR,0.36062893,0.6181886,0.6913769,0.5610258,0.41711655,0.31739056,0.25510108,0.21906516,0.20340475,0.20775272,0.23807491,0.31006935,0.45307857,0.685916,0.8845465,0.82291466
0.062143,0.8571,10.0,5,SC,0.46806,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR,0.40806836,0.67722565,0.70680594,0.5481412,0.4016743,0.30575502,0.24773183,0.2158982,0.20516956,0.21679507,0.2599384,0.35650048,0.5420376,0.8033172,0.9142252,0.74986106
0.072857,0.8571,10.0,5,SC,0.483893,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR,0.45293856,0.7260473,0.71199703,0.5332618,0.3872103,0.29541832,0.2414178,0.2135288,0.20762019,0.2267462,0.28372097,0.40718105,0.6340441,0.8915937,0.89147884,0.6738295
0.083571,0.8571,10.0,5,SC,0.494838,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR,0.494667,0.76532876,0.7105491,0.51817715,0.37414435,0.2863934,0.23607023,0.211827,0.21056555,0.23728195,0.30878982,0.4604268,0.72236294,0.9426067,0.8419943,0.6076549
0.094286,0.8571,10.0,5,SC,0.502221,0.1954697303026674,0.0378247459614652,0.0374406540757777,GPR,0.5328531,0.796242,0.7051667,0.5038564,0.36258912,0.27858981,0.23156174,0.21064416,0.21379678,0.24803688,0.33438373,0.51417875,0.8006781,0.9596005,0.78527826,0.5538758
0.105,0.8571,10.0,5,SC,0.507066,0.218338456582856,0.0433560907810373,0.0423157014338971,GPR,0.5672447,0.82016456,0.69776887,0.49079132,0.3525157,0.27188408,0.22776118,0.20983481,0.21710528,0.2586261,0.35965803,0.5662413,0.8647251,0.95240337,0.731649,0.51135945
0.115714,0.8571,10.0,5,SC,0.510127,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR,0.59773767,0.83849424,0.68966275,0.47919604,0.34383005,0.2661465,0.22454578,0.20926617,0.22029653,0.26867333,0.38376024,0.6146005,0.91311413,0.9316023,0.68516535,0.47811222
0.126429,0.8571,10.0,5,SC,0.51195,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR,0.6243352,0.8525139,0.68171346,0.4691355,0.33641845,0.2612576,0.22180846,0.20882322,0.22319706,0.27782756,0.40588292,0.6576443,0.94697434,0.90540946,0.6467286,0.45225933
