t_over_L,d_mm,L_mm,N,lattice_type,band_mean_alpha,alpha_1000hz,C11,C12,C44,surrogate_method
0.03,0.5,10.0,5,SC,0.573148,0.328267,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR
0.040714,0.5,10.0,5,SC,0.555238,0.342315,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR
0.051429,0.5,10.0,5,SC,0.545559,0.367686,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR
0.062143,0.5,10.0,5,SC,0.540204,0.40191,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR
0.072857,0.5,10.0,5,SC,0.533249,0.441873,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR
0.083571,0.5,10.0,5,SC,0.523236,0.483984,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR
0.094286,0.5,10.0,5,SC,0.511492,0.524627,0.1954697303026674,0.0378247459614652,0.0374406540757777,GPR
0.105,0.5,10.0,5,SC,0.4994,0.560761,0.218338456582856,0.0433560907810373,0.0423157014338971,GPR
0.115714,0.5,10.0,5,SC,0.487769,0.590393,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR
0.126429,0.5,10.0,5,SC,0.47697,0.612738,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR
0.137143,0.5,10.0,5,SC,0.467125,0.628044,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR
0.147857,0.5,10.0,5,SC,0.458229,0.637227,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR
0.158571,0.5,10.0,5,SC,0.450219,0.641505,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR
0.169286,0.5,10.0,5,SC,0.44301,0.642105,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR
0.18,0.5,10.0,5,SC,0.436516,0.640101,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR
0.03,0.6786,10.0,5,SC,0.542574,0.316409,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR
0.040714,0.6786,10.0,5,SC,0.554488,0.299983,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR
0.051429,0.6786,10.0,5,SC,0.555543,0.287145,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR
0.062143,0.6786,10.0,5,SC,0.550979,0.277464,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR
0.072857,0.6786,10.0,5,SC,0.543728,0.270364,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR
0.083571,0.6786,10.0,5,SC,0.535444,0.265298,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR
0.094286,0.6786,10.0,5,SC,0.527049,0.261785,0.1954697303026674,0.0378247459614652,0.0374406540757777,GPR
0.105,0.6786,10.0,5,SC,0.519034,0.25942,0.218338456582856,0.0433560907810373,0.0423157014338971,GPR
0.115714,0.6786,10.0,5,SC,0.511634,0.257861,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR
0.126429,0.6786,10.0,5,SC,0.504932,0.256826,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR
0.137143,0.6786,10.0,5,SC,0.498922,0.256086,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR
0.147857,0.6786,10.0,5,SC,0.493552,0.255456,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR
0.158571,0.6786,10.0,5,SC,0.488751,0.254792,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR
0.169286,0.6786,10.0,5,SC,0.484446,0.253989,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR
0.18,0.6786,10.0,5,SC,0.480571,0.252974,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR
0.03,0.8571,10.0,5,SC,0.379324,0.345046,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR
0.040714,0.8571,10.0,5,SC,0.416138,0.332075,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR
0.051429,0.8571,10.0,5,SC,0.445847,0.319304,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR
0.062143,0.8571,10.0,5,SC,0.46806,0.307565,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR
0.072857,0.8571,10.0,5,SC,0.483893,0.297127,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR
0.083571,0.8571,10.0,5,SC,0.494838,0.288009,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR
